CRATER_ID,LAT_CIRC_IMG,LON_CIRC_IMG,LAT_ELLI_IMG,LON_ELLI_IMG,DIAM_CIRC_IMG,DIAM_CIRC_SD_IMG,DIAM_ELLI_MAJOR_IMG,DIAM_ELLI_MINOR_IMG,DIAM_ELLI_ECCEN_IMG,DIAM_ELLI_ELLIP_IMG,DIAM_ELLI_ANGLE_IMG,LAT_ELLI_SD_IMG,LON_ELLI_SD_IMG,DIAM_ELLI_MAJOR_SD_IMG,DIAM_ELLI_MINOR_SD_IMG,DIAM_ELLI_ANGLE_SD_IMG,DIAM_ELLI_ECCEN_SD_IMG,DIAM_ELLI_ELLIP_SD_IMG,ARC_IMG,PTS_RIM_IMG
04-1-089142,44.2017,280.772,44.2016,280.773,1.06158,0.0247032,1.10789,0.995702,0.438495,1.11268,91.394,0.000173802,0.000272479,0.0123256,0.0148942,5.80092,0.0343393,0.0207426,0.635937,11
04-1-089143,44.1371,280.631,44.1371,280.631,1.14183,0.0275695,1.19658,1.07531,0.438658,1.11278,100.114,0.000209204,0.000342176,0.014922,0.0153995,7.2481,0.0349603,0.0211311,0.776407,13
04-1-089145,44.7499,281.916,44.7499,281.917,1.26658,0.0197482,1.30507,1.21763,0.359873,1.07181,147.151,0.00023235,0.00051655,0.0184684,0.0201369,13.461,0.0526493,0.023329,0.753102,12
04-1-089146,44.9342,281.757,44.9342,281.76,3.23971,0.056046,3.34631,2.97193,0.459606,1.12597,78.3105,0.000284161,0.000841466,0.0188673,0.0378748,3.62302,0.023916,0.0156912,0.69755,18
04-1-089147,44.9704,281.203,44.9704,281.202,4.03244,0.0395813,4.05108,4.02453,0.114281,1.00659,10.8032,0.000351422,0.000858249,0.0475346,0.0201973,45.935,0.110214,0.0128462,0.736181,26
04-1-089165,44.8524,280.272,44.8483,280.255,4.00589,0.100354,4.03604,3.05249,0.654216,1.32221,106.825,0.000440579,0.00105942,0.0211375,0.0582532,1.29944,0.0173025,0.0261658,0.659566,21
04-2-014145,35.1126,280.52,35.1125,280.521,2.07353,0.0633812,2.23856,1.87778,0.544388,1.19213,87.0544,0.000177367,0.000221088,0.0124042,0.0128777,1.79372,0.011396,0.0105108,0.828208,15
04-2-014146,35.1196,280.621,35.1371,280.633,5.34164,0.175488,6.75899,4.86209,0.694646,1.39014,75.0052,0.00258217,0.00112442,0.171182,0.0349856,1.28556,0.0196134,0.0366009,0.534417,31
04-2-014148,35.1264,281.522,35.1262,281.523,1.6117,0.0529961,1.726,1.48965,0.505095,1.15866,65.023,0.000241191,0.000390206,0.0185118,0.0181284,4.4225,0.0239219,0.018795,0.779053,14
04-2-014149,35.2069,282.689,35.2069,282.689,1.61525,0.0338525,1.64207,1.57326,0.286457,1.04374,78.2536,0.000373319,0.000552118,0.0270058,0.0335881,20.8847,0.0863584,0.0281282,0.816809,15
04-2-014347,35.8891,306.901,35.8888,306.901,1.2833,0.0317168,1.34064,1.20824,0.433311,1.10958,150.28,0.000262121,0.000287969,0.0162723,0.0183114,6.97685,0.0363969,0.0215444,0.820369,13
04-2-014358,35.8,283.292,35.7986,283.284,34.1366,0.336313,34.5918,34.0006,0.18409,1.01739,3.73238,0.00161278,0.00499031,0.291978,0.100017,6.75389,0.0469099,0.00909399,0.533078,174
04-2-014359,35.2928,282.68,35.2929,282.68,1.17053,0.0475975,1.29567,1.0398,0.596628,1.24608,118.104,0.000236454,0.000290103,0.0184074,0.0166735,3.16847,0.0231257,0.0266953,1,14
04-2-014360,35.8614,282.263,35.8612,282.262,3.49672,0.0378949,3.51902,3.48381,0.141094,1.0101,76.9135,0.000684066,0.000434553,0.0493956,0.0249731,41.942,0.109483,0.0159205,0.780469,25
04-2-014363,35.2944,281.978,35.294,281.979,2.37857,0.0676009,2.60292,2.24929,0.503254,1.15722,159.776,0.000215927,0.000669832,0.0322571,0.0171192,3.64006,0.0215794,0.0168297,0.733866,20
