selenographic crater coordinates: ID, X, Y, Z, a_dia_metres, b_dia_metres, angle(degree)
04-1-084379, 347371.20150171, -1285452.24384455, 1116021.74582858, 1.52, 1.45, 1.25
04-1-084382, 330399.04070512, -1287192.36246361, 1119165.33895421, 1.24, 1.17, 0.85
04-1-084386, 317851.02444160, -1287652.63489332, 1122265.64507416, 2.28, 2.05, 1.57
04-1-084388, 314014.19698135, -1283173.10135959, 1128459.40823823, 1.32, 1.25, 1.47
04-1-084390, 303867.83406906, -1284349.96315843, 1129897.46063664, 1.46, 1.40, 0.95
04-1-084392, 309795.71038247, -1285744.72121529, 1126696.89344368, 4.60, 4.41, 1.52
04-1-084393, 310288.11145329, -1290854.86536398, 1120702.35319503, 2.96, 2.62, 1.49
04-1-084399, 305189.36226385, -1292250.69731022, 1120493.79670850, 2.62, 2.53, 0.78
04-1-084400, 300740.83047088, -1293072.33935811, 1120748.69532587, 2.46, 2.03, 1.79
04-1-084402, 298865.20851692, -1294115.24286076, 1120046.46570291, 1.20, 1.01, 1.68
04-1-084404, 282042.67164554, -1302298.01796916, 1114912.80545370, 1.69, 1.56, 1.51
04-1-084405, 288962.01492631, -1298489.03761551, 1117580.39224124, 1.39, 1.14, 1.92
04-1-084406, 282859.07402316, -1297091.32198579, 1120760.28064520, 1.39, 1.24, 1.30
04-1-084407, 292908.26739947, -1287680.05867687, 1129001.13966948, 1.94, 1.81, 1.95
04-1-084408, 290997.98771878, -1289895.21088435, 1126964.62947212, 1.34, 1.24, 1.03
04-1-084409, 298700.93187875, -1290629.60683959, 1124104.85776188, 4.76, 3.86, 2.33
04-1-084411, 279723.79282816, -1289740.92865912, 1129991.90115122, 4.04, 3.56, 0.05
04-1-084417, 271263.59786971, -1302781.42822942, 1117020.75662510, 1.21, 1.12, 1.47
04-1-084418, 268846.85144376, -1305669.95768725, 1114228.92264639, 1.52, 1.46, 1.20
04-1-084421, 271515.22730431, -1296955.87979450, 1123718.68686445, 1.30, 1.24, 1.31
